text,sentiment
"I love this phone! Battery timing is amazing 😍😍","positive"
"This is the worst product I ever bought. Total waste of money.","negative"
"Service was okay... not too good, not too bad.","negative"
"Absolutely fantastic experience! Highly recommended.","positive"
"I hate the new update, everything is lagging 😡","negative"
"Best purchase ever! Worked better than expected.","positive"
"Terrible customer support. They dont reply at all.","negative"
"Camera quality is insane! Loved every picture.","positive"
"Product arrived broken and seller refused refund.","negative"
"Fast delivery and excellent packaging.","positive"
"Not what I ordered. Highly disappointed.","negative"
"Awesome!!!! Will surely buy again.","positive"
"I regret buying this. Waste of time.","negative"
"Great sound quality and very comfortable to wear.","positive"
"The product stopped working after 2 days.","negative"
"Very good value for the price.","positive"
"Shipping took forever. Not happy.","negative"
"Absolutely love it. Super smooth performance.","positive"
"Item is cheap quality and doesnt work as advertised.","negative"
"Best experience with any online store so far.","positive"
"The phone keeps freezing, worst experience ever.","negative"
"Exceeded my expectations, really impressed.","positive"
"Bad packaging, item arrived damaged.","negative"
"Totally satisfied. 10/10.","positive"
"Terrible! I want my money back.","negative"
"Perfect fit and looks amazing.","positive"
"Horrible user experience. Nothing works 😤","negative"
"This product changed my life! Thank you.","positive"
"Not worth the hype.","negative"
"Loved the color and the build quality.","positive"
"Totally disappointed, won't buy again.","negative"
"So smooth, so fast. Too good.","positive"
"The material feels cheap and fragile.","negative"
"Works exactly as described. Great job.","positive"
"Did not like it at all.","negative"
"Simply awesome! Go for it.","positive"
"Feels slow and outdated.","negative"
"Incredible performance and amazing display.","positive"
"Poor build, very fragile.","negative"
